player,final_rating
Kevin De Bruyne,23.734262077755226
Eden Hazard,18.706397245920677
Harry Kane,17.08712586028758
Mohamed Salah,17.03616604224078
Christian Eriksen,16.08767597436257
Leroy Sane,15.590409088192468
Paul Pogba,14.477379277920006
Jan Vertonghen,14.299807654888061
Harry Maguire,13.935246088243213
Sergio Aguero,13.889334175530715
Naldo,13.493894473639925
Daniel Caligiuri,13.487262164917512
Shane Duffy,13.435962425902856
David Silva,13.20615696629318
Salif Sane,13.105301166000656
Raheem Sterling,13.058991343319432
Jamie Vardy,13.058858013204409
Lukasz Fabianski,12.913508092932398
Roberto Firmino,12.878218488812221
Benjamin Pavard,12.831058101757831
Christopher Schindler,12.700646268162183
Riyad Mahrez,12.54442753685863
Nemanja Matic,12.500665336512485
N'Golo Kante,12.392468042709973
Alexis Sanchez,12.367011868845283
Ahmed Hegazi,12.3508334421447
Ashley Young,12.174456489849463
Ron-Robert Zieler,12.078095770750041
Ben Mee,12.047653138035837
Cesar Azpilicueta,12.011386424103312
Mesut Ozil,11.620409342120746
Leon Bailey,11.542001040730463
Chris Smalling,11.538909912514672
Lewis Dunk,11.368961484201375
James Rodriguez,11.354507153819478
Nicolas Otamendi,11.17669210267596
Robert Lewandowski,11.143750977988308
Aaron Mooy,11.121221453878547
Dele Alli,11.058713764102013
Kyle Walker,11.044179608823098
Andros Townsend,10.95942107615738
Emre Can,10.940521385866067
Romelu Lukaku,10.924099964192381
Thomas Delaney,10.923778904108387
Wilfried Zaha,10.914792062685757
Naby Keita,10.869701518541039
Mat Ryan,10.78795898160286
Mark Uth,10.768027915464346
Wilfred Ndidi,10.762168454643753
Joshua Kimmich,10.760092616687867
Kieran Trippier,10.687002152007198
Fernandinho,10.669540586871674
Lars Stindl,10.611918938056302
Koen Casteels,10.594907948296141
Thibaut Courtois,10.51756505970013
James Tarkowski,10.505313678734955
Abdoulaye Doucoure,10.496792209221045
Marcel Sabitzer,10.469319730619414
Abdou Diallo,10.450298843887055
Marko Arnautovic,10.445350615416018
Granit Xhaka,10.286648410515255
Marcos Alonso,10.206934356422215
Aaron Ramsey,10.091666470963691
Sadio Mane,10.033142239507248
Arturo Vidal,10.017490719753347
Oriol Romeu,9.985655505323399
Jiri Pavlenka,9.946992330077407
Thorgan Hazard,9.918352837810874
Philipp Max,9.84794952335787
Ben Davies,9.804128931980685
Nathan Ake,9.726238458143172
Hugo Lloris,9.712659651269995
Thilo Kehrer,9.683350239167085
Wesley Hoedt,9.63568985022928
Kasper Schmeichel,9.547800136300728
Christian Gentner,9.508361478805964
Max Kruse,9.435378817557103
Luka Milivojevic,9.386950498888345
Laurent Koscielny,9.382698393927539
Luis Antonio Valencia,9.365669059913252
Steve Cook,9.32996386445085
James Tomkins,9.274628109786132
Shkodran Mustafi,9.265852443098867
Jamaal Lascelles,9.26231585528184
Pirmin Schwegler,9.261618360294214
Jonathan Tah,9.24524719156418
Douglas Santos,9.23913687687293
Benjamin Hubner,9.233205097963511
Lars Bender,9.185865698512554
Dejan Lovren,9.143258555297018
Xherdan Shaqiri,9.121411564159386
Caiuby,9.005104176662062
Felix Klaus,8.94955689164019
Hector Bellerin,8.947382070883794
Kurt Zouma,8.938013692867928
Arthur Masuaku,8.924369201432986
Alexandre Lacazette,8.923021006307097
Marwin Hitz,8.908661818839398
Wayne Hennessey,8.898853988018507
Mats Hummels,8.894721036455156
Emiliano Insua,8.890920383267208
Willian,8.847086014285162
Niclas Fullkrug,8.820804750647676
Yann Sommer,8.807238452191381
Henrikh Mkhitaryan,8.788908355231973
Nick Pope,8.785261598244483
Mathew Leckie,8.77685386697113
Timo Horn,8.748077907837386
Michael Gregoritsch,8.726280009952522
Zanka,8.722246655921651
Daniel Baier,8.71637180308759
Alfie Mawson,8.711609536023731
Christian Pulisic,8.681290012086402
Andrej Kramaric,8.678256365651169
Mousa Dembele,8.672903595085495
Ihlas Bebou,8.667031306524368
Ante Rebic,8.632272754619999
Alex Oxlade-Chamberlain,8.628724021620135
Anthony Knockaert,8.601632224777331
Mohamed Diame,8.549725300057537
Richarlison,8.524323948064662
Maya Yoshida,8.49311726736123
Kai Havertz,8.472154776089836
Nico Elvedi,8.46673895498021
Pavel Kaderabek,8.458133823155542
Jean-Philippe Gbamin,8.442111861305747
Holger Badstuber,8.436135825310387
Niklas Stark,8.4335256533631
Pierre-Emerick Aubameyang,8.430992971567452
Ilkay Gundogan,8.418524757926985
Yoshinori Muto,8.417674443939802
Leon Goretzka,8.41670467942117
Kevin Volland,8.406561889749806
Davinson Sanchez,8.361614604024659
Kingsley Coman,8.351032286698873
Maximilian Eggestein,8.32641883168363
Mike van der Hoorn,8.321966779138096
Matthias Ginter,8.313122374867572
Son Heung-Min,8.312566686288175
David de Gea,8.288689887206543
Vincent Kompany,8.248552511350228
Salomon Rondon,8.236472438692878
Florian Lejeune,8.232824937470179
Joseph Gomez,8.181881304606119
Jonny Evans,8.173408942039933
Waldemar Anton,8.121799168291696
Gylfi Sigurdsson,8.093010896852023
Amine Harit,8.045043410117904
Julian Brandt,8.043366281404566
Timo Baumgartl,8.02981080035621
Jordan Ayew,8.01066358330367
Dale Stephens,7.964559368756689
Petr Cech,7.961829670529584
Jordan Henderson,7.959646689849416
Craig Dawson,7.949036124873363
Sven Bender,7.943851190464695
Jerome Boateng,7.918917461131569
Fabian Delph,7.911129273970385
Virgil van Dijk,7.8981573816575175
Eric Dier,7.88419476449498
Kevin-Prince Boateng,7.8812685482556635
Marius Wolf,7.841367857024522
Benjamin Stambouli,7.833358376836202
Thomas Muller,7.827308157416731
Simon Francis,7.801491500517367
Ralf Fahrmann,7.799473935123904
Jannik Vestergaard,7.790664825228037
Arjen Robben,7.784039340976026
Cesc Fabregas,7.781150932850176
Dayot Upamecano,7.759739518901869
Jonjo Shelvey,7.757360542031472
Joshua King,7.732727427013474
Matt Phillips,7.731474252672825
Jonathan Hogg,7.722500372463376
Martin Hinteregger,7.7010104470501535
Diego Demme,7.6782338429916415
Pascal GroB,7.67218008518385
Josuha Guilavogui,7.667697621518412
Serge Gnabry,7.6672774520918825
Danny Latza,7.64300875007299
Phil Jones,7.629160767712197
Kyriakos Papadopoulos,7.62426401332953
Christian Benteke,7.574062775551811
Manuel Lanzini,7.546489046125064
Theodor Gebre Selassie,7.53804529116381
Jetro Willems,7.526683299841213
Paul Dummett,7.52610553976964
Marvin Plattenhardt,7.52461747965587
Ben Foster,7.480557700769616
Jordan Pickford,7.452470202401788
Mario Lemina,7.432047941981272
Alvaro Morata,7.413564183272118
John Stones,7.412534803143458
Mark Noble,7.402841390309385
Dusan Tadic,7.383962273143446
Jack Cork,7.373622140428992
Angelo Ogbonna,7.361428324617341
Alexander Schwolow,7.343771277015382
Victor Moses,7.330478240980748
Sead Kolasinac,7.329221549693342
Jeffrey Gouweleeuw,7.313089157849813
Charles Aranguiz,7.308368734143764
Niklas Sule,7.297130113330006
Philipp Tschauner,7.296562732790964
Andreas Christensen,7.296073842852648
Rani Khedira,7.271778301895797
Matthew Lowton,7.26485141280453
Pierre-Emile Hrjbjerg,7.231241131592096
Raffael,7.229962976702618
Maximilian Arnold,7.220891234892743
Ederson,7.211895849580527
Jonas Lossl,7.206968497048271
Bastian Oczipka,7.206636546951202
Kevin Kampl,7.177119740700693
Jesse Lingard,7.153528341618383
Bruno,7.142210753300304
Gabriel Jesus,7.133179294622904
Ludwig Augustinsson,7.1181111379947755
Grzegorz Krychowiak,7.116782335259273
Patrick van Aanholt,7.076593101708365
Ayoze Perez,7.051413225897516
Javi Martinez,7.0499006029943345
Janik Haberer,7.044529683964479
Bernardo Silva,7.042733152842526
Daniel Brosinski,7.037138029602286
David Alaba,7.035838763360932
Per Skjelbred,7.031256207793231
Christoph Kramer,7.014897888368234
Fabian Lustenberger,7.0036733180525825
Rune Jarstein,7.002739724921183
Michael Keane,6.998600671242654
Jonas Hector,6.998036769864477
Wendell,6.992816702764731
Jack Butland,6.979033620636075
Stefan Bell,6.974340136999723
Bernd Leno,6.96527901654628
Joe Allen,6.957931355452917
David Abraham,6.935370945272513
Sven Ulreich,6.928294720822549
Denis Zakaria,6.912388533383268
Allan-Romeo Nyom,6.89684384634495
Lukasz Piszczek,6.8749630436083695
Pascal Stenzel,6.870987048291729
Nacho Monreal,6.845539286120497
Santiago Ascacibar,6.835088504921558
Steven Defour,6.826860134289348
Christian Gunter,6.81982775599956
Andrew Robertson,6.8064267863277355
Sebastian Rudy,6.753541291281458
Jay Rodriguez,6.750727272748062
Guido Burgstaller,6.745879499902044
Suat Serdar,6.712337098641724
DeAndre Yedlin,6.693137918674989
Marc Albrighton,6.665624248336163
Salomon Kalou,6.661294736078512
Julian Baumgartlinger,6.6609395633919295
Ryan Shawcross,6.656700790444404
Joel Matip,6.636984783517359
Cheikhou Kouyate,6.6135735283375965
Philipp Bargfrede,6.604367067240204
Bruma,6.579939452402652
Kieran Gibbs,6.541666761999668
Anthony Martial,6.5399208297633304
Stephen Ward,6.510377761185305
Christian Fuchs,6.509397069274483
Davy Propper,6.503389002246831
Marouane Fellaini,6.498879162620881
Jake Livermore,6.463166536461841
Eric Maxim Choupo-Moting,6.457138494601313
Milos Veljkovic,6.4466984722356475
Aaron Hunt,6.441430102161235
Laurent Depoitre,6.414943954450138
Ryan Bertrand,6.413021217435045
Vladimir Darida,6.403752265945123
Steven Zuber,6.402623395689769
Pablo Zabaleta,6.401549418052724
Adam Smith,6.373137310897269
Zlatko Junuzovic,6.354634423953694
Toby Alderweireld,6.347177739207414
Antonio Rudiger,6.330515823868463
Alex Iwobi,6.329761097508239
Ander Herrera,6.325308905936392
Davie Selke,6.290213980033643
Olivier Giroud,6.285292349230614
James Milner,6.2800694578239185
Peter Gulacsi,6.278634266073224
Admir Mehmedi,6.265795680850376
Lukas Hradecky,6.2582058513143615
Robin Koch,6.251435080068783
Corentin Tolisso,6.251006776498805
Sokratis,6.248521009734089
Kyle Naughton,6.243691665304482
Marcus Rashford,6.20875128082327
Julian Weigl,6.206371261590016
Valentino Lazaro,6.2019748242632335
Ruben Loftus-Cheek,6.178488949381482
Jean-Kevin Augustin,6.1672860093320665
Pedro Obiang,6.162961488437761
Mame Biram Diouf,6.149877369697743
Yevhen Konoplyanka,6.146101015264776
Alfred Finnbogason,6.137123144637767
Willi Orban,6.128510968196688
Matija Nastasic,6.124781138319266
Yohan Cabaye,6.09468066299892
Peter Pekarik,6.090992264509627
Oliver Baumann,6.086411072611577
Cuco Martina,6.08003735178759
Yussuf Poulsen,6.071885434826653
Ashley Williams,6.048357941994766
Chris Brunt,6.035492354676359
Mario Gomez,6.033863432264784
Dennis Diekmeier,6.023816752599933
Sebastien Haller,6.015783258133844
Mitchell Weiser,6.01339912036782
Georginio Wijnaldum,5.979549094181305
Emil Forsberg,5.959027208155193
Sandro Wagner,5.93033035617203
Daryl Janmaat,5.926610462038457
Charlie Daniels,5.915991429954758
Florian Grillitsch,5.900237567388457
Matt Ritchie,5.885861158770211
Wes Morgan,5.882381987361869
Niklas Moisander,5.87957252242437
Ryan Fraser,5.815710827089703
Tiemoue Bakayoko,5.801870217025272
James McArthur,5.789321768342585
Mario Gotze,5.784400264306466
Heurelho Gomes,5.775161071951581
Timothy Fosu-Mensah,5.758482776269849
Federico Fernandez,5.746640869413879
Dominique Heintz,5.741086142397416
Matthias Ostrzolek,5.737737227691518
Lucas Alario,5.735434746191839
Cedric Soares,5.730033064057693
Michail Antonio,5.7263755648956405
Dennis Geiger,5.701598386718141
Dominic Calvert-Lewin,5.692258715353885
James Ward-Prowse,5.678980728835226
Gary Cahill,5.652500790677358
Sam Vokes,5.641880897794676
Nils Petersen,5.64077146867162
Declan Rice,5.629516322164591
Kiko Femenia,5.629313524757528
Nathan Redmond,5.623154859485355
Leonardo Bittencourt,5.602786792482933
Marvin Bakalorz,5.598621422093689
Shane Long,5.5641790935263415
Nadiem Amiri,5.5412573148735245
Thiago,5.53789958491682
Carlos Salcedo,5.535291162131426
Karim Bellarabi,5.5293015350759145
Omer Toprak,5.510450246102932
Nicolas Hofler,5.504049664771161
Ashley Barnes,5.494835831127759
Adrian Mariappa,5.489445790099797
Konrad Laimer,5.4502314750818
Solly March,5.444779186027901
Gaetan Bong,5.419666140928957
Christian Kabasele,5.3819386906426185
Tommy Smith,5.36530535019682
Jack Stephens,5.335991002124182
Giulio Donati,5.330964709627862
Mikel Merino,5.327108741007915
Salih Ozcan,5.316869801125749
Caglar Soyuncu,5.310548532087514
Phil Jagielka,5.302828684205156
Etienne Capoue,5.287910336921902
Ja-Cheol Koo,5.286634932829282
Oscar Wendt,5.28478193945144
Julian Korb,5.242908927823159
Filip Kostic,5.221188531687135
Peter Crouch,5.21742427613877
Leighton Baines,5.209896068002173
Aaron Cresswell,5.2070436774898745
Idrissa Gueye,5.1990082497901415
Lewis Cook,5.18729580290273
James McClean,5.180747598053923
Dan Gosling,5.1775443901386335
Danny Simpson,5.173028519735086
Dwight Gayle,5.172028520573328
Jose Izquierdo,5.1691784198717095
Danilo,5.163812063013918
Jack Wilshere,5.163635587075095
Mijat Gacinovic,5.155168261804954
Tom Cleverley,5.1526891350808235
Andre Carrillo,5.132154976144085
Callum Wilson,5.0939029790344765
Breel Embolo,5.039875246636226
Wayne Rooney,5.03138367258828
Joselu,5.022995103924282
Paul Verhaegh,5.01569574230739
Juan Mata,5.013274631324039
Stefan Ilsanker,4.974476664852617
Daniel Didavi,4.970745543509038
Roberto Pereyra,4.939234514689566
Joao Mario,4.9331220284027815
Rafinha,4.931151630007973
Jose Holebas,4.929839791535095
Erik Thommy,4.9220185806180545
Steve Mounie,4.9159843221094714
Yunus Malli,4.898426979585588
Jorge Mere,4.8866205245539724
Jordon Ibe,4.872697860690085
Nico Schulz,4.863096027195654
Max Meyer,4.846705609536624
Gotoku Sakai,4.841158595958342
Roman Burki,4.828554458277516
Charlie Austin,4.818136148687017
Gareth Barry,4.809480699091653
Oliver Sorg,4.7988204294454935
Ki Sung-Yueng,4.790769682998826
Shinji Kagawa,4.778185040162828
Sofiane Boufal,4.770230655852405
Chris Lowe,4.769819729309148
Asmir Begovic,4.768793913967075
Danny Welbeck,4.763508447599856
Frederik Sorensen,4.756941787476212
Daniel Ginczek,4.725276805133518
Kevin Vogt,4.68786650392761
Jeffrey Schlupp,4.676501249593448
Simon Falette,4.672235348690803
Troy Deeney,4.667613197291322
Andrew Surman,4.624431327384432
Josip Brekalo,4.6212103008195005
Divock Origi,4.561006855777283
Fraser Forster,4.5575303729701275
Florian Kainz,4.532846313155705
Sam Clucas,4.50732543542364
Erik Pieters,4.503380078631064
Pablo De Blasis,4.485435484151187
Adam Szalai,4.473364051551751
Chadrac Akolo,4.465767003238263
Gelson Fernandes,4.443175310325641
Simon Terodde,4.4361390600260435
Kevin Akpoguma,4.417868678318007
Mahmoud Dahoud,4.403726669128256
Kelechi Iheanacho,4.392511300111066
Panagiotis Retsos,4.391851595196439
Andriy Yarmolenko,4.366640257022787
Robin Quaison,4.360388997940223
Shinji Okazaki,4.3509103984637445
Levin Oztunali,4.305827484480333
Luka Jovic,4.280079883994206
Chris Wood,4.2768808379713095
Demarai Gray,4.275081022240885
Leroy Fer,4.273205646306951
Timo Werner,4.268391802266976
Ben Chilwell,4.249679935501057
Martin Harnik,4.2443681504796915
Patrick Herrmann,4.215802988226217
Chicharito,4.210467432108966
Lukas Klostermann,4.1804776385135245
Michael Cuisance,4.1752416791483995
Ciaran Clark,4.160816095688706
Glenn Murray,4.121792559689574
Morgan Schneiderlin,4.115583630567773
Jonathan Schmid,4.07924169855586
William,4.054137082651078
Jacob Murphy,4.043747493578814
Lukas Rupp,4.037903026368429
Franco Di Santo,4.034814497928635
Marco Hoger,4.0230719375700605
Ishak Belfodil,4.016231899957938
Erik Lamela,4.013379447396134
Hal Robson-Kanu,3.968608586601821
Moussa Sissoko,3.9643835448423594
Steven Davis,3.9467820258756356
Jermain Defoe,3.917483668715076
Pedro,3.909872753351766
Karim Rekik,3.908219188494601
Andreas Beck,3.8817402648470383
Marcin Kaminski,3.860587575810687
Victor Lindelof,3.837040887885226
Dennis Aogo,3.7800851926109553
Gideon Jung,3.769230916455844
Jeff Hendrick,3.7536452197546257
Ramadan Sobhi,3.7404301693691515
Jonas Hofmann,3.7248463387693995
Isaac Hayden,3.7152901987973337
Milos Jojic,3.5726459739290695
Tom Carroll,3.567015609964704
Sebastian Prodl,3.514308110397404
Marco Terrazzino,3.447331155340411
Lys Mousset,3.4439546245692885
Weston McKennie,3.4028190510838705
Timothy Chandler,3.3834264017272924
Vedad Ibisevic,3.3795327021924395
Tom Davies,3.3248487573073877
Oumar Niasse,3.3180482370708724
Marcel Heller,3.294994902911869
Makoto Hasebe,3.2385875987510326
Davide Zappacosta,3.236449085808368
Aaron Lennon,3.1896581977302603
Dominik Kohr,3.1673496080538017
Benjamin Henrichs,3.148113771726808
Christian Atsu,3.0939831141690695
Andre Schurrle,3.065643020867599
Yuya Osako,3.064024553349407
Christian Mathenia,3.03810718620086
Robin Knoche,2.9831234848808075
Andre Hahn,2.9618100480207614
Florent Hadergjonaj,2.947863324466751
Tammy Abraham,2.9387469503830213
