player,final_rating
Kevin De Bruyne,23.210702951372014
Mohamed Salah,17.081519832597024
Eden Hazard,16.16283627223795
Leroy Sane,15.611191180300683
Harry Kane,15.226982089605826
Christian Eriksen,15.191591722479888
David Silva,14.562230692302528
Paul Pogba,14.512436728506277
Sergio Aguero,14.030020304725866
Naldo,13.950672491534666
Raheem Sterling,13.248950432174153
Ron-Robert Zieler,12.945513665845104
Wilfried Zaha,12.916473077500898
Harry Maguire,12.669585794717253
Roberto Firmino,12.536599267782377
Jan Vertonghen,12.328986595915085
Daniel Caligiuri,12.200770939792662
Ben Mee,12.109606439561373
Salif Sane,12.015286443028861
Riyad Mahrez,11.97835744523786
Jamie Vardy,11.925735560646453
James Rodriguez,11.883806302639885
Shane Duffy,11.66465787716919
Lukasz Fabianski,11.511608178074319
Benjamin Pavard,11.499430674186844
Koen Casteels,11.42830372534658
Kyle Walker,11.416350820696646
Mesut Ozil,11.364684252636247
Leon Bailey,11.247166248460282
Christopher Schindler,11.162492024709431
James Tarkowski,11.102390111624139
Ashley Young,11.060460431042301
N'Golo Kante,11.02423892141628
Nemanja Matic,11.022643251265984
Jiri Pavlenka,10.971458552914308
Aaron Mooy,10.81624275262497
Jonathan Tah,10.760480486055611
Robert Lewandowski,10.684301742665802
Cesar Azpilicueta,10.64877351537885
Joshua Kimmich,10.636881731081306
Ahmed Hegazi,10.601545261110154
Lewis Dunk,10.40384150489274
Abdou Diallo,10.379784176086181
Sadio Mane,10.373088777742856
Lars Bender,10.367395599159376
Alexis Sanchez,10.367315985848853
Mat Ryan,10.344660846233413
Aaron Ramsey,10.20492545303144
Mats Hummels,10.193850395534753
Mark Uth,10.184666482297118
Naby Keita,10.130199448310394
Fernandinho,10.118321744841923
Marcel Sabitzer,10.096761699757458
Thibaut Courtois,10.092553658362908
Emre Can,10.009969955901246
Marko Arnautovic,9.974989994256465
Nicolas Otamendi,9.83350236155459
Chris Smalling,9.821715351497513
Sven Ulreich,9.813345153445658
Jerome Boateng,9.7986454320507
Arturo Vidal,9.761990898474357
Marwin Hitz,9.75572871184216
Ben Davies,9.588312169563762
Andros Townsend,9.578053664068252
Lars Stindl,9.555392556498143
Philipp Max,9.551359750723535
Timo Horn,9.527528448554753
Benjamin Hubner,9.522921194171493
Yann Sommer,9.505366511093596
David de Gea,9.394688469629797
Kingsley Coman,9.391386633791093
Thilo Kehrer,9.35762392944631
Alexandre Lacazette,9.334797483042808
Amine Harit,9.31390915280819
Jordan Henderson,9.203659744514736
Marcos Alonso,9.186202029439174
Wilfred Ndidi,9.175244797979031
Andrej Kramaric,9.172272276597393
Dele Alli,9.157017164653734
Henrikh Mkhitaryan,8.968887379185091
Nick Pope,8.952563510926797
Vincent Kompany,8.947081339493009
Serge Gnabry,8.943096771733622
Hugo Lloris,8.933865104758295
Jamaal Lascelles,8.913303921713398
Christian Gentner,8.911717766282997
Thomas Delaney,8.88927479060384
Kieran Trippier,8.886059668207887
Son Heung-Min,8.885904207993548
James Tomkins,8.885645477306083
Holger Badstuber,8.87695507291931
Bernd Leno,8.856353582413476
Nathan Ake,8.779742552357874
Shkodran Mustafi,8.778001921399804
Anthony Knockaert,8.777855118608938
Felix Klaus,8.758265291012515
Arjen Robben,8.755638589137497
Rune Jarstein,8.742610882111281
Romelu Lukaku,8.735258684350878
Davinson Sanchez,8.72886593595187
Leon Goretzka,8.72838156822574
Ante Rebic,8.724716966015372
Kai Havertz,8.723206655115332
Andrew Robertson,8.66244493078319
Ralf Fahrmann,8.65100788509086
Abdoulaye Doucoure,8.637336143014458
Ilkay Gundogan,8.630636124050906
Jean-Philippe Gbamin,8.612484048768618
Ihlas Bebou,8.580601622671097
Matt Phillips,8.561262546380258
Kasper Schmeichel,8.551182958660032
Daniel Baier,8.541309423717752
Gabriel Jesus,8.539014068682622
Philipp Tschauner,8.520550725106148
Luis Antonio Valencia,8.507540076602746
Jonny Evans,8.503035572376872
Niklas Sule,8.498661468806429
Christian Pulisic,8.458640975375404
Steve Cook,8.425392628715127
Niklas Stark,8.414720445368667
Ben Foster,8.414549632964537
Wesley Hoedt,8.39848137656214
Charles Aranguiz,8.387047604547373
Pavel Kaderabek,8.379754140163106
Kurt Zouma,8.370290695461195
Caiuby,8.328385430065676
Laurent Koscielny,8.318289463843524
Arthur Masuaku,8.272934662234361
Bernardo Silva,8.267592081067969
Maya Yoshida,8.232034214378885
Alex Oxlade-Chamberlain,8.216110100211028
Max Kruse,8.212937098812123
Peter Gulacsi,8.185883236812769
Joseph Gomez,8.178896842203857
Pirmin Schwegler,8.169649667682636
Julian Baumgartlinger,8.157216070661466
Oriol Romeu,8.146554936763522
Hector Bellerin,8.1451191072743
Salomon Rondon,8.13097419987681
Mario Lemina,8.119045391566056
Emiliano Insua,8.116636943396994
Alfie Mawson,8.108780281030809
Ederson,8.097896211415657
Waldemar Anton,8.084788091057924
Diego Demme,8.060385687733081
Niclas Fullkrug,8.056100993570725
Per Skjelbred,8.053916998906994
John Stones,8.037076705262926
Virgil van Dijk,8.010165542087288
Lukas Hradecky,7.991608202894408
Mathew Leckie,7.968068799567403
Douglas Santos,7.960468557238881
Craig Dawson,7.947860137960834
Yoshinori Muto,7.92350636899274
Alexander Schwolow,7.908154374374288
Dejan Lovren,7.880974953818562
Guido Burgstaller,7.880877158489838
Maximilian Eggestein,7.839280412625756
Matthias Ginter,7.839164528556193
Benjamin Stambouli,7.816226224154384
Sandro Wagner,7.814984491105671
Jeffrey Gouweleeuw,7.812605788497466
Willian,7.780897306347329
Wayne Hennessey,7.770306836083252
Javi Martinez,7.767682891925151
Kevin Kampl,7.756873482605593
Kevin-Prince Boateng,7.751915837091836
Pascal GroB,7.747101980202347
Thomas Muller,7.746699545485528
Mousa Dembele,7.723692264361784
Sven Bender,7.721268786540289
Petr Cech,7.71343377118405
Michael Gregoritsch,7.704893832778044
Kevin Volland,7.687551174703955
Matthew Lowton,7.67925011021093
Dennis Geiger,7.6135387574613915
Phil Jones,7.595877707903135
Mike van der Hoorn,7.580828037150868
Fabian Delph,7.54500272727725
Joshua King,7.520212434984527
Mohamed Diame,7.493289604330686
Xherdan Shaqiri,7.492406216243088
Sead Kolasinac,7.4813441193430315
Julian Brandt,7.465749611513548
Granit Xhaka,7.44615523830484
Oliver Baumann,7.429395327398115
Paul Dummett,7.429261763773166
Ayoze Perez,7.420215668165689
David Alaba,7.3991866007936355
Alvaro Morata,7.371236300470805
Philipp Bargfrede,7.355954016412589
Dayot Upamecano,7.349572575057749
Santiago Ascacibar,7.340893958859365
Fabian Lustenberger,7.315789412840784
Sebastian Rudy,7.293115772916625
Ryan Shawcross,7.2878759950336
Luka Milivojevic,7.285735097087988
Pierre-Emerick Aubameyang,7.2806392098145665
Jonjo Shelvey,7.2805611154077905
Wendell,7.253984702725765
Jack Cork,7.252203409997238
Mario Gotze,7.243821650679234
Lukasz Piszczek,7.237654123123413
Nico Schulz,7.204639437732029
Valentino Lazaro,7.199526363239665
Jannik Vestergaard,7.186386733394144
Bruno,7.155387332313243
Steven Defour,7.154266074041098
Florian Lejeune,7.144054078516323
Rani Khedira,7.139708912592013
Kyriakos Papadopoulos,7.135215638494834
Dusan Tadic,7.133324740766271
Jesse Lingard,7.1190999778555515
Ludwig Augustinsson,7.1190210307293444
Michail Antonio,7.104384755212607
Niklas Moisander,7.0932579767277915
Ruben Loftus-Cheek,7.08168326767197
Suat Serdar,7.081186430528145
Marouane Fellaini,7.075545962525053
Christoph Kramer,7.073485094053305
Richarlison,7.032556722714741
Thorgan Hazard,7.032184500758877
Sokratis,7.025688223826684
David Abraham,6.99979671649985
Danny Latza,6.990811386686147
Cesc Fabregas,6.930327140544264
Bruma,6.926896043606776
Mark Noble,6.925045365397045
Matija Nastasic,6.911489406284808
James Ward-Prowse,6.9105472634249825
Raffael,6.910464883669542
Georginio Wijnaldum,6.902888591235138
Jonas Hector,6.858266744258593
Bastian Oczipka,6.857788214167382
Toby Alderweireld,6.856521392627622
Timo Baumgartl,6.85353220316113
Zlatko Junuzovic,6.834483412973233
Stefan Bell,6.833069108628733
Manuel Lanzini,6.831173969346626
Stephen Ward,6.820460315054234
Lucas Alario,6.817836203897684
Allan-Romeo Nyom,6.815424977475757
Zanka,6.804413627304763
Dale Stephens,6.797477204884078
Marvin Plattenhardt,6.797013834457509
Marius Wolf,6.788551685328198
Nico Elvedi,6.786417143055306
Nadiem Amiri,6.7664272942406
Anthony Martial,6.760109105880506
Davie Selke,6.748662969665064
Florian Grillitsch,6.746131757521033
Jordan Pickford,6.7426170104281145
Simon Francis,6.730009470463523
Pierre-Emile Hrjbjerg,6.7240719604623695
James McArthur,6.696709753518132
Robin Koch,6.671833493149704
Matt Ritchie,6.635586244248869
Jetro Willems,6.625078486035487
Mitchell Weiser,6.623149875773811
Jack Butland,6.62020408878107
Ryan Bertrand,6.613263830580052
Eric Maxim Choupo-Moting,6.58655423261162
Roman Burki,6.581882072140183
Christian Gunter,6.568737920577944
Gylfi Sigurdsson,6.561404125163564
Thiago,6.557002681784191
Nils Petersen,6.545011876459133
Joel Matip,6.53549629893831
Jack Wilshere,6.514202536873323
Jay Rodriguez,6.507489456450278
Sam Vokes,6.494775008485262
Heurelho Gomes,6.4789222764021765
Chris Brunt,6.47454568174775
Jonas Lossl,6.469245193347478
Janik Haberer,6.4595756338521895
Jose Izquierdo,6.435658039255989
Ryan Fraser,6.398583774502683
Chris Wood,6.39810391932613
Marc Albrighton,6.396955251629357
Salomon Kalou,6.389882697607495
Denis Zakaria,6.387452868665032
Shinji Kagawa,6.384049389890876
Martin Hinteregger,6.356187808828177
Vladimir Darida,6.355612422994659
Jean-Kevin Augustin,6.353579870782985
Kieran Gibbs,6.341054576956473
Max Meyer,6.338888880719387
James Milner,6.336023411159019
Victor Moses,6.327324343641525
Leonardo Bittencourt,6.314304958239541
Pedro Obiang,6.269131373350523
Danilo,6.269062322515936
Callum Wilson,6.258227873593903
Josuha Guilavogui,6.242906698202659
Rafinha,6.2417104439312
Corentin Tolisso,6.231998176947712
Yevhen Konoplyanka,6.230940235186132
Alex Iwobi,6.224135885198813
Pascal Stenzel,6.212454245419112
Juan Mata,6.211769152005104
Jonathan Hogg,6.201625525130806
Steven Zuber,6.200595420433442
Kevin Akpoguma,6.188138223691685
Yohan Cabaye,6.171671862261442
Kevin Vogt,6.157891688646745
Peter Pekarik,6.149539433375509
Ander Herrera,6.14787860737229
Nacho Monreal,6.128491968418272
Konrad Laimer,6.127991863965016
Mikel Merino,6.124710727509765
Erik Thommy,6.120278732415709
Antonio Rudiger,6.11002481742329
Maximilian Arnold,6.100057319088023
Fraser Forster,6.085393939009836
Michael Keane,6.082111592440639
Charlie Austin,6.071093817876539
Karim Bellarabi,6.056478579627578
Yussuf Poulsen,6.053095095540615
Marcus Rashford,6.037954232392263
Joe Allen,6.0360081812717405
Jordan Ayew,6.001093653545297
Dennis Diekmeier,5.992130147318797
Charlie Daniels,5.982618688025067
Grzegorz Krychowiak,5.96085120740053
Mahmoud Dahoud,5.950130397824643
Wes Morgan,5.94791923633258
Julian Weigl,5.924512745344593
Daniel Brosinski,5.91521140059448
Jake Livermore,5.911955405112345
Ashley Barnes,5.895625165402235
Carlos Salcedo,5.886387872313907
Aaron Hunt,5.874452327964394
Patrick van Aanholt,5.86821275361025
Willi Orban,5.860038684965747
Alfred Finnbogason,5.851275258933375
Omer Toprak,5.83847817723087
Tom Cleverley,5.819099014461273
Joao Mario,5.806199363006807
Mario Gomez,5.801695265705949
Cedric Soares,5.767437050984507
Declan Rice,5.765570298789258
Kiko Femenia,5.754470561604698
DeAndre Yedlin,5.734475870343176
Solly March,5.7322126339932105
Adam Smith,5.726866381852668
Daryl Janmaat,5.717926159881327
Davy Propper,5.709703380303099
Daniel Ginczek,5.705473792682937
Christian Benteke,5.70301536835293
Nathan Redmond,5.697629551666878
Michael Cuisance,5.6899885401434345
Phil Jagielka,5.685682876741293
Jack Stephens,5.68394819434083
Pablo De Blasis,5.6722974144286145
Milos Veljkovic,5.633735666461897
Admir Mehmedi,5.610347754138956
Andre Carrillo,5.608144194969034
Breel Embolo,5.597867228507914
Tiemoue Bakayoko,5.5822421676429
Chris Lowe,5.5438711426703176
Shinji Okazaki,5.5388099905231565
Peter Crouch,5.534738518437518
Marvin Bakalorz,5.532993794499631
Caglar Soyuncu,5.532894049359893
Hal Robson-Kanu,5.53207759538556
Florian Kainz,5.530168881482997
Olivier Giroud,5.508972679836944
Lukas Rupp,5.507831279763227
Eric Dier,5.506506591289728
Theodor Gebre Selassie,5.50225678666957
Erik Lamela,5.4928878459694355
Dominic Calvert-Lewin,5.4826058134712925
Nicolas Hofler,5.441097407905809
Sofiane Boufal,5.415062985103385
Andreas Christensen,5.406146634334499
Karim Rekik,5.400562871505368
Adam Szalai,5.3785050327607555
Mijat Gacinovic,5.367791411476403
Sebastien Haller,5.363245913358573
Angelo Ogbonna,5.353812997089344
Weston McKennie,5.333635966295373
Kelechi Iheanacho,5.32963345832785
Gelson Fernandes,5.323840185744998
Leighton Baines,5.31637572734213
Chicharito,5.301634497610543
Tommy Smith,5.298898841058134
Jordon Ibe,5.2984738168104535
Dominique Heintz,5.282672321889479
Laurent Depoitre,5.258728841497199
Cheikhou Kouyate,5.2465342436016735
Timothy Fosu-Mensah,5.238262290178993
Etienne Capoue,5.228009360118365
Matthias Ostrzolek,5.224538216627158
Mame Biram Diouf,5.224474558428634
Andriy Yarmolenko,5.222704317806808
Troy Deeney,5.201810442354898
Gareth Barry,5.18425046357102
Ja-Cheol Koo,5.173472687558245
Ben Chilwell,5.163975026511681
Roberto Pereyra,5.149177815819614
Chadrac Akolo,5.14765280203385
Lewis Cook,5.121988080337205
Steve Mounie,5.111237289039584
