date,match,player,rating_before,P,E,rating_after,system
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Aaron Ramsey,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Aaron Ramsey,5.589649445475766,8.511959946161149,6.795143052631579,6.3486632299835755,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Andy King,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Andy King,5.589649445475766,6.329847046419163,6.795143052631579,5.3839396322029085,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Ashley Williams,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Ashley Williams,5.589649445475766,8.561959946161148,6.795143052631579,6.37076849314147,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Ben Davies,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Ben Davies,5.589649445475766,7.131959946161148,6.795143052631579,5.738557966825681,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Eden Hazard,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Eden Hazard,5.589649445475766,6.546959946161148,6.584616736842105,5.567451758337517,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Hal Robson-Kanu,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Hal Robson-Kanu,5.589649445475766,8.084459946161147,6.795143052631579,6.0963283650382625,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Joe Allen,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Joe Allen,5.589649445475766,7.3344599461611475,6.795143052631579,5.828084282615155,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Kevin De Bruyne,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Kevin De Bruyne,5.589649445475766,5.974459946161147,6.584616736842105,5.229978074126991,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Marouane Fellaini,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Marouane Fellaini,5.589649445475766,6.192349207696433,6.584616736842105,5.476602990292733,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Michy Batshuayi,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Michy Batshuayi,5.589649445475766,6.2498470464191636,6.584616736842105,5.392311522700138,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Romelu Lukaku,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Romelu Lukaku,5.589649445475766,6.149459946161148,6.584616736842105,5.3530870170447615,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Sam Vokes,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Sam Vokes,5.589649445475766,7.094847046419163,6.795143052631579,5.722150158518699,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Thibaut Courtois,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Thibaut Courtois,5.589649445475766,6.6869599461611475,6.584616736842105,5.649978074126991,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Toby Alderweireld,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Toby Alderweireld,5.589649445475766,6.059459946161148,6.584616736842105,5.2800833372848865,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Wayne Hennessey,5.589649445475766,,,5.589649445475766,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Wayne Hennessey,5.589649445475766,7.101959946161148,6.795143052631579,5.725294808930944,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Jerome Boateng,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Jerome Boateng,5.589649445475766,6.966959946161148,6.795143052631579,5.665610598404628,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Jonas Hector,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Jonas Hector,5.589649445475766,7.621959946161148,6.795143052631579,5.95518954577305,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Joshua Kimmich,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Joshua Kimmich,5.589649445475766,7.291959946161148,6.795143052631579,5.809294808930944,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mario Gomez,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Mario Gomez,5.589649445475766,6.951959946161148,6.795143052631579,5.645113104660961,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mats Hummels,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Mats Hummels,5.589649445475766,7.546959946161148,6.795143052631579,5.922031651036207,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mesut Ozil,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Mesut Ozil,5.589649445475766,7.601959946161148,6.795143052631579,5.946347440509891,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Thomas Muller,5.589649445475766,,,5.589649445475766,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Thomas Muller,5.589649445475766,6.676959946161148,6.795143052631579,5.537400072088839,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Alfred Finnbogason,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Alfred Finnbogason,5.589649445475766,6.129851368973702,6.479353578947368,5.476337150031672,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Gylfi Sigurdsson,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Gylfi Sigurdsson,5.589649445475766,5.999462107438417,6.479353578947368,5.271405627527725,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Hugo Lloris,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Hugo Lloris,5.589649445475766,7.246962107438416,6.795143052631579,5.789401027600895,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Kingsley Coman,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Kingsley Coman,5.589649445475766,6.076433719672884,6.795143052631579,5.554344425611129,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Laurent Koscielny,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Laurent Koscielny,5.589649445475766,7.054462107438416,6.795143052631579,5.681366500649553,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Moussa Sissoko,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Moussa Sissoko,5.589649445475766,7.546962107438416,6.795143052631579,5.922032606548263,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Olivier Giroud,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Olivier Giroud,5.589649445475766,9.466962107438416,6.795143052631579,6.377132956366203,tuned
2016-03-06 23:59:59.999999,"France - Iceland, 5 - 2",Paul Pogba,5.589649445475766,,,5.589649445475766,tuned
2016-03-07 00:00:00.000000,"France - Iceland, 5 - 2",Paul Pogba,5.589649445475766,8.174462107438417,6.795143052631579,6.199453659179842,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Andy King,5.3839396322029085,6.751962107438416,6.426722,5.6116077074098,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Ashley Williams,6.37076849314147,6.994462107438417,6.426722,6.768186568348362,tuned
2016-06-06 23:59:59.999999,"Portugal - Wales, 2 - 0",Cedric Soares,5.589649445475766,,,5.589649445475766,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Cedric Soares,5.589649445475766,7.411962107438416,6.584616736842105,6.077347769195697,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Hal Robson-Kanu,6.0963283650382625,6.1119621074384165,6.426722,5.942096017683086,tuned
2016-06-06 23:59:59.999999,"Portugal - Wales, 2 - 0",Joao Mario,5.589649445475766,,,5.589649445475766,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Joao Mario,5.589649445475766,6.229462107438416,6.584616736842105,5.380295137616749,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Joe Allen,5.828084282615155,6.396962107438417,6.426722,5.807252357822047,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Sam Vokes,5.722150158518699,6.5598513689737015,6.426722,5.755284579241042,tuned
2016-06-07 00:00:00.000000,"Portugal - Wales, 2 - 0",Wayne Hennessey,5.725294808930944,6.684462107438416,6.426722,5.905712884137836,tuned
