system,player,final_rating,rank
tuned,Kevin De Bruyne,23.210702951372014,1
tuned,Mohamed Salah,17.081519832597024,2
tuned,Eden Hazard,16.16283627223795,3
tuned,Leroy Sane,15.611191180300683,4
tuned,Harry Kane,15.226982089605826,5
tuned,Christian Eriksen,15.191591722479888,6
tuned,David Silva,14.562230692302528,7
tuned,Paul Pogba,14.512436728506277,8
tuned,Sergio Aguero,14.030020304725866,9
tuned,Naldo,13.950672491534666,10
human,Kevin De Bruyne,23.25999210780117,1
human,Mohamed Salah,16.965888125249084,2
human,David Silva,16.10215917637314,3
human,Leroy Sane,16.029852273770544,4
human,Raheem Sterling,15.497754210330832,5
human,Eden Hazard,15.272883298109262,6
human,Jiri Pavlenka,14.866456606751978,7
human,Sergio Aguero,14.435519933015964,8
human,Wilfried Zaha,14.162392104082349,9
human,Koen Casteels,13.912382340837144,10
ai,Kevin De Bruyne,20.512307256382314,1
ai,Eden Hazard,20.42217689333919,2
ai,Harry Kane,17.263934489257366,3
ai,Mohamed Salah,15.355263046381173,4
ai,Sergio Aguero,15.201336184123356,5
ai,Leroy Sane,14.846658246218723,6
ai,Daniel Caligiuri,14.262670801488937,7
ai,Christian Eriksen,13.391606759143558,8
ai,Alexis Sanchez,13.366497467637156,9
ai,Roberto Firmino,13.23596211757233,10
